acides 19548,ADJECTIVE
violon 19563,NOUN
amiral 19447,ADJECTIVE
capter 19428,VERB,HAS_EXAMPLE
nuance 19340,NOUN
jambon 19335,NOUN
amère 19308,ADJECTIVE
grasse 19244,ADJECTIVE
servis 19166,VERB
idiote 19160,ADJECTIVE
volcan 19126,NOUN
pilier 19183,NOUN
agonie 19183,NOUN
vivres 19044,NOUN
rictus 18895,NOUN
roulé 18898,NOUN
malice 18887,NOUN
rangé 18752,ADJECTIVE,HAS_EXAMPLE
sultan 18673,NOUN
naïve 18625,ADJECTIVE
virage 18633,NOUN
crête 18420,NOUN
passif 18451,ADJECTIVE
nourri 18415,ADJECTIVE
câble 18403,NOUN
fronce 18371,NOUN
teinte 18329,NOUN
cachet 18244,NOUN
refait 18252,ADJECTIVE,HAS_EXAMPLE
dingue 18215,ADJECTIVE,HAS_EXAMPLE
inerte 18195,ADJECTIVE
mâles 18198,ADJECTIVE
jetée 18154,NOUN
